MeasurementId,Technology,Latitude,Longitude,Margin,NOfGateways,RSSI,SNR
1093,lora,55.784337,12.524506,14,3,-107.00,0.00
1094,lora,55.784835,12.524515,15,3,-108.00,3.00
1095,lora,55.785084,12.524655,9,3,-100.00,6.00
1096,lora,55.785151,12.523784,13,3,-93.00,6.00
1097,lora,55.785396,12.522693,13,3,-98.00,6.00
1098,lora,55.785663,12.522450,10,3,-112.00,0.00
1099,lora,55.785541,12.520324,12,3,-109.00,2.00
1100,lora,55.785941,12.520059,12,3,-102.00,4.00
1101,lora,55.786079,12.519711,0,1,-116.00,-6.00
1102,lora,55.786262,12.519054,13,3,-96.00,7.00
1103,lora,55.786398,12.516540,15,2,-102.00,6.00
1104,lora,55.786566,12.516264,10,2,-109.00,3.00
1105,lora,55.786524,12.515448,11,1,-98.00,7.00
1106,lora,55.786272,12.514638,6,3,-100.00,5.00
1107,lora,55.785837,12.514627,12,2,-93.00,7.00
1108,lora,55.785107,12.513776,14,2,-110.00,2.00
1109,lora,55.784657,12.513518,0,1,-100.00,6.00
1110,lora,55.784295,12.513128,4,2,-97.00,6.00
1111,lora,55.783845,12.512615,6,1,-105.00,4.00
1112,lora,55.783460,12.512082,9,2,-108.00,-1.00
1113,lora,55.781813,12.511149,0,2,-112.00,-1.00
1114,lora,55.781137,12.511670,0,3,-104.00,1.00
1115,lora,55.780969,12.513812,0,2,-114.00,-1.00
1117,lora,55.781375,12.517356,2,1,-107.00,3.00
1118,lora,55.781872,12.517666,3,1,-104.00,5.00
1120,lora,55.782007,12.518845,14,4,-107.00,4.00
1122,lora,55.782099,12.518787,15,4,-105.00,4.00
1123,lora,55.781779,12.518302,15,3,-107.00,4.00
1124,lora,55.782020,12.518471,13,3,-104.00,6.00
1125,lora,55.781926,12.518456,15,3,-102.00,6.00
1126,lora,55.781935,12.518458,14,5,-107.00,5.00
1127,lora,55.782226,12.518811,14,2,-103.00,4.00
1128,lora,55.782246,12.518916,13,3,-105.00,3.00
1129,lora,55.782444,12.518968,13,2,-104.00,2.00
1130,lora,55.782347,12.518752,15,4,-105.00,3.00
1131,lora,55.782134,12.518729,14,4,-102.00,4.00
1132,lora,55.782156,12.518779,13,5,-103.00,4.00
1133,lora,55.782056,12.518698,15,3,-103.00,4.00
1134,lora,55.782027,12.518678,14,5,-103.00,4.00
1135,lora,55.782046,12.518750,15,5,-105.00,3.00
2018,lora,55.782024,12.518499,15,3,-103.00,2.00
2019,lora,55.782067,12.518658,15,3,-109.00,0.00
2020,lora,55.782156,12.518088,14,2,-102.00,3.00
2021,lora,55.782423,12.519162,14,3,-105.00,1.00
2022,lora,55.782243,12.520877,15,3,-100.00,5.00
2023,lora,55.782769,12.523068,15,4,-102.00,3.00
2024,lora,55.783515,12.523737,15,5,-98.00,5.00
2025,lora,55.784026,12.523873,15,6,-92.00,6.00
2026,lora,55.785534,12.524753,15,3,-92.00,6.00
2027,lora,55.785556,12.523167,13,3,-84.00,7.00
2028,lora,55.786466,12.522303,14,3,-88.00,6.00
2029,lora,55.787174,12.523385,15,3,-95.00,6.00
2030,lora,55.786875,12.525043,15,3,-86.00,7.00
2031,lora,55.787354,12.526216,15,3,-94.00,7.00
2032,lora,55.787560,12.527548,13,3,-96.00,6.00
2033,lora,55.787681,12.529314,15,5,-103.00,4.00
2034,lora,55.787517,12.531319,7,5,-114.00,-4.00
2035,lora,55.787920,12.532324,10,2,-100.00,5.00
2036,lora,55.787928,12.533625,0,3,-106.00,-1.00
2037,lora,55.787517,12.535991,3,6,-107.00,0.00
2039,lora,55.787693,12.550457,0,1,-117.00,-4.00
2040,lora,55.788080,12.532728,3,3,-112.00,-3.00
2041,lora,55.788174,12.532756,7,2,-104.00,3.00
2042,lora,55.788151,12.532778,8,2,-104.00,2.00
2043,lora,55.788206,12.532752,9,3,-103.00,2.00
2044,lora,55.788100,12.532756,8,2,-107.00,1.00
2045,lora,55.788162,12.532629,6,3,-107.00,1.00
2046,lora,55.788164,12.532654,7,3,-105.00,1.00
2047,lora,55.788182,12.532730,7,3,-105.00,1.00
2048,lora,55.788184,12.532849,2,1,-107.00,1.00
2049,lora,55.788155,12.532737,10,3,-104.00,2.00
